Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
Venom: Let There Be Carnage,506863592,213550366,42.1,293313226,57.9,2021
Godzilla vs. Kong,470116094,100916094,21.5,369200000,78.5,2021
Shang0Chi and the Legend of the Ten Rings,432243292,224543292,51.9,207700000,48.1,2021
Sing 2,408402685,162790990,39.9,245611695,60.1,2021
Eternals,402064899,164870234,41.0,237194665,59.0,2021
Dune: Part One,402027830,108327830,26.9,293700000,73.1,2021
Black Widow,379751655,183651655,48.4,196100000,51.6,2021
Free Guy,331526598,121626598,36.7,209900000,63.3,2021
A Quiet Place Part II,297372261,160072261,53.8,137300000,46.2,2021
Encanto,256786742,96093622,37.4,160693120,62.6,2021
Cruella,233503234,86103234,36.9,147400000,63.1,2021
My Country My Parents,221831086,177133,0.0,221653953,99.9,2021
Jungle Cruise,220889446,116987516,53.0,103901930,47.0,2021
The Conjuring: The Devil Made Me Do It,206431050,65631050,31.8,140800000,68.2,2021
Raging Fire,205842393,385305,0.2,205457088,99.8,2021
Ghostbusters: Afterlife,204334455,129360575,63.3,74973880,36.7,2021
Chinese Doctors,197143218,0,0.0,197143218,100.0,2021
Cliff Walkers,181325565,152972,0.0,181172593,99.9,2021
The Suicide Squad,168717425,55817425,33.1,112900000,66.9,2021
Jujutsu Kaisen 0,166760828,34542754,20.7,132218074,79.3,2021
Space Jam: A New Legacy,163692228,70592228,43.1,93100000,56.9,2021
The Matrix Resurrections,157386805,37686805,23.9,119700000,76.1,2021
Peter Rabbit 2: The Runaway,153901717,40501717,26.3,113400000,73.7,2021
House of Gucci,153269161,53809574,35.1,99459587,64.9,2021
A Writer's Odyssey,150123320,160013,0.1,149963307,99.9,2021
The Boss Baby 2: Family Business,146745280,57300280,39.0,89445000,61.0,2021
PAW Patrol: The Movie,144327371,40127371,27.8,104200000,72.2,2021
Tom & Jerry,136536687,46536687,34.1,90000000,65.9,2021
Be Somebody,132326332,0,0.0,132326332,100.0,2021
Halloween Kills,131647155,92002155,69.9,39645000,30.1,2021
Raya and the Last Dragon,130423032,54723032,42.0,75700000,58.0,2021
Sister,128317206,0,0.0,128317206,100.0,2021
The King's Man,125897478,37176373,29.5,88721105,70.5,2021
The Addams Family 2,119815153,56489153,47.1,63326000,52.9,2021
My Love,116720921,86252,0.0,116634669,99.9,2021
Clifford the Big Red Dog,107347356,48947356,45.6,58400000,54.4,2021
Wrath of Man,103966489,27466489,26.4,76500000,73.6,2021
Detective Conan: The Scarlet Bullet,95371578,0,0.0,95371578,100.0,2021
Evangelion: 3.0+1.01 Thrice Upon a Time,93882453,810744,0.9,93071709,99.1,2021
End Game,91824961,23149,0.0,91801812,100.0,2021
Old,90146510,48276510,53.6,41870000,46.4,2021
Mortal Kombat,84426031,42326031,50.1,42100000,49.9,2021
Boonie Bears: The Wild Life,78132231,0,0.0,78132231,100.0,2021
Candyman,77411570,61186570,79.0,16225000,21.0,2021
The Forever Purge,76994245,44539245,57.8,32455000,42.2,2021
West Side Story,76016171,38530322,50.7,37485849,49.3,2021
1921,75159828,0,0.0,75159828,100.0,2021
Hitman's Wife's Bodyguard,70060492,38014727,54.3,32045765,45.7,2021
Escape Room: Tournament of Champions,65774490,25314753,38.5,40459737,61.5,2021
Belle,64679830,4018313,6.2,60661517,93.8,2021
Ron's Gone Wrong,60692022,23009270,37.9,37682752,62.1,2021
Cloudy Mountain,58348836,0,0.0,58348836,100.0,2021
Avatar 2021 Re0release,57995770,0,0.0,57995770,100.0,2021
Nobody,57510518,27568035,47.9,29942483,52.1,2021
New Gods: Nezha Reborn,56088478,0,0.0,56088478,100.0,2021
Upcoming,54300000,0,0.0,54300000,100.0,2021
Don't Breathe 2,53785551,32712950,60.8,21072601,39.2,2021
Man in Love,52946097,0,0.0,52946097,100.0,2021
Break Through the Darkness,52700000,0,0.0,52700000,100.0,2021
Schemes in Antiques,51637422,36501,0.0,51600921,99.9,2021
Luca,51074773,1324302,2.6,49750471,97.4,2021
Belfast,49158709,9250870,18.8,39907839,81.2,2021
My Hero Academia: World Heroes' Mission,46940541,12271658,26.1,34668883,73.9,2021
The French Dispatch,46333545,16124375,34.8,30209170,65.2,2021
In the Heights,45175167,29975167,66.4,15200000,33.6,2021
Love Will Tear Us Apart,45060290,0,0.0,45060290,100.0,2021
Spirit Untamed,42717215,17716215,41.5,25001000,58.5,2021
Resident Evil: Welcome to Raccoon City,41914915,17000612,40.6,24914303,59.4,2021
Spiral,40618920,23216862,57.2,17402058,42.8,2021
Snake Eyes,40064325,28264325,70.5,11800000,29.5,2021
Tokyo Revengers,39714624,0,0.0,39714624,100.0,2021
Nightmare Alley,39629195,11338107,28.6,28291088,71.4,2021
Nomadland,39458207,3700000,9.4,35758207,90.6,2021
King Richard,39429285,15129285,38.4,24300000,61.6,2021
Arashi Anniversary Tour 5 x 20 Film: Record of Memories,38052695,0,0.0,38052695,100.0,2021
The Yinyang Master,37690000,0,0.0,37690000,100.0,2021
Rurouni Kenshin: Final Chapter Part I 0 The Final,36964978,0,0.0,36964978,100.0,2021
The Door Lock,36100000,0,0.0,36100000,100.0,2021
We Made a Beautiful Bouquet,35042879,0,0.0,35042879,100.0,2021
Malignant,34891791,13391791,38.4,21500000,61.6,2021
Licorice Pizza,33276075,17318007,52.0,15958068,48.0,2021
Respect,32882823,24278399,73.8,8604424,26.2,2021
Big Red Envelope,32800000,0,0.0,32800000,100.0,2021
Masquerade Night,32287400,0,0.0,32287400,100.0,2021
Once Upon a Time in Hong Kong,32218874,0,0.0,32218874,100.0,2021
Home Sweet Home,32178677,0,0.0,32178677,100.0,2021
The Little Things,30842746,15342746,49.7,15500000,50.3,2021
The Unholy,30832137,15532137,50.4,15300000,49.6,2021
The Last Duel,30552111,10853945,35.5,19698166,64.5,2021
Escape from Mogadishu,29902716,346271,1.2,29556445,98.8,2021
The Last Warrior: Root of Evil,28357398,0,0.0,28357398,100.0,2021
The Last Warrior: A Messenger of Darkness,27052365,0,0.0,27052365,100.0,2021
American Underdog,26514814,26514814,100.0,0,0.0,2021
Chaos Walking,26508132,13287908,50.1,13220224,49.9,2021
The Courier,26001227,6613432,25.4,19387795,74.6,2021
Spencer,25246967,7086632,28.1,18160335,71.9,2021
Parallel Mothers,23099858,2297501,9.9,20802357,90.1,2021
The Marksman,23076711,15566093,67.5,7510618,32.5,2021
99.9 Criminal Lawyer: The Movie,23055069,0,0.0,23055069,100.0,2021
Last Night in Soho,22957625,10127625,44.1,12830000,55.9,2021
The Day We Lit Up the Sky,22500000,0,0.0,22500000,100.0,2021
School of Magical Animals,22029698,288414,1.3,21741284,98.7,2021
Kaamelott: First Installment,21979122,188000,0.9,21791122,99.1,2021
After We Fell,21753705,2170750,10.0,19582955,90.0,2021
Rurouni Kenshin: Final Chapter Part II 0 The Beginning,21318560,0,0.0,21318560,100.0,2021
Wish Dragon,21120000,0,0.0,21120000,100.0,2021
Crayon Shin0chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,20752104,0,0.0,20752104,100.0,2021
Stillwater,19754272,14465535,73.2,5288737,26.8,2021
The Wolf and the Lion,19510578,2072173,10.6,17438405,89.4,2021
Les Tuche 4,19259766,0,0.0,19259766,100.0,2021
Dear Evan Hansen,19133454,15002646,78.4,4130808,21.6,2021
Those Who Wish Me Dead,19107200,7407200,38.8,11700000,61.2,2021
The Pioneer,18900000,0,0.0,18900000,100.0,2021
The Green Knight,18887953,17173321,90.9,1714632,9.1,2021
Antlers,18867659,10619670,56.3,8247989,43.7,2021
Sinkhole,18816801,0,0.0,18816801,100.0,2021
Mobile Suit Gundam: Hathaway,18731309,0,0.0,18731309,100.0,2021
The Stronghold,18066143,0,0.0,18066143,100.0,2021
Dad I'm Sorry,17480489,350000,2.0,17130489,98.0,2021
Gintama: The Final,17252960,0,0.0,17252960,100.0,2021
Railway Heroes,17223704,0,0.0,17223704,100.0,2021
Your Turn to Kill,16511822,0,0.0,16511822,100.0,2021
Cry Macho,16510734,10310734,62.4,6200000,37.6,2021
Reminiscence,16400193,3900193,23.8,12500000,76.2,2021
Legend No. 17,16096860,0,0.0,16096860,100.0,2021
Upon the Magic Roads,15990882,0,0.0,15990882,100.0,2021
Harry Potter and the Sorcerer's Stone 2021 Re0release,15591681,799342,5.1,14604379,93.7,2021
The Dry,15576286,364237,2.3,15212049,97.7,2021
The Night House,15437703,7100581,46.0,8337122,54.0,2021
Drive My Car,15356410,2352240,15.3,13004170,84.7,2021
Minari,15288578,3110580,20.3,12177998,79.7,2021
Something About Love,15204017,0,0.0,15204017,100.0,2021
Anita,15017470,556632,3.7,14460838,96.3,2021
And So the Baton Is Passed,14403588,0,0.0,14403588,100.0,2021
The Tomorrow War,14400000,0,0.0,14400000,100.0,2021
Sword Art Online: Progressive 0 Aria of a Starless Night,14032747,1050000,7.5,12982747,92.5,2021
Christmas with the Chosen: The Messengers,13728000,13728000,100.0,0,0.0,2021
Eiffel,13573923,444814,3.3,13129109,96.7,2021
OSS 117: From Africa with Love,13457801,0,0.0,13457801,100.0,2021
Hostage: Missing Celebrity,13174292,0,0.0,13174292,100.0,2021
Vakeel Saab,13056490,0,0.0,13056490,100.0,2021
The Many Saints of Newark,13037403,8237403,63.2,4800000,36.8,2021
The Monkey King: Reborn,13017088,0,0.0,13017088,100.0,2021
No Escapes,12916151,0,0.0,12916151,100.0,2021
The Bodin's in the Land of Smile,12872253,0,0.0,12872253,100.0,2021
The Worst Person in the World,12687507,3034775,23.9,9652732,76.1,2021
Character,12628017,0,0.0,12628017,100.0,2021
On Your Mark,12100000,0,0.0,12100000,100.0,2021
On the Line,12058986,0,0.0,12058986,100.0,2021
Stand by Me,11900000,0,0.0,11900000,100.0,2021
The Fable: The Killer Who Doesn't Kill,11325545,0,0.0,11325545,100.0,2021
What Did You Eat Yesterday?,11320893,0,0.0,11320893,100.0,2021
Aline,11149943,667815,6.0,10482128,94.0,2021
Krack,10442916,0,0.0,10442916,100.0,2021
Realm of Terracotta,10363914,0,0.0,10363914,100.0,2021
Kaiserschmarrndrama,10357720,0,0.0,10357720,100.0,2021
Caution Hazardous Wife: The Movie,10356359,0,0.0,10356359,100.0,2021
Detective Conan: The Scarlet Alibi,10308627,0,0.0,10308627,100.0,2021
Never Stop,10224935,0,0.0,10224935,100.0,2021
Ainbo,10172403,0,0.0,10172403,100.0,2021
Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,9742510,0,0.0,9742510,100.0,2021
Black Box,9738741,0,0.0,9738741,100.0,2021
The Soul,9600000,0,0.0,9600000,100.0,2021
¡A todo tren! Destino Asturias,9544171,0,0.0,9544171,100.0,2021
Baragaki: Unbroken Samurai,9481437,0,0.0,9481437,100.0,2021
Dad,9267397,0,0.0,9267397,100.0,2021
The Lord of the Rings: The Fellowship of the Ring 2021 Re0release,8990599,0,0.0,8377569,93.2,2021
All About My Mother,8900000,0,0.0,8900000,100.0,2021
The Eleventh Chapter,8844997,0,0.0,8844997,100.0,2021
The Medium,8826689,0,0.0,8826689,100.0,2021
The Vault,8803864,0,0.0,8803864,100.0,2021
Kaguya0sama: Love Is War,8794981,0,0.0,8794981,100.0,2021
Moonbound,8749618,0,0.0,8749618,100.0,2021
The Protégé,8737253,7446823,85.2,1290430,14.8,2021
Lost Illusions,8635184,126391,1.5,8508793,98.5,2021
Agent Backkom: King's Bear,8619446,0,0.0,8619446,100.0,2021
Pil's Adventures,8567345,0,0.0,8567345,100.0,2021
Honey Lemon Soda,8441488,0,0.0,8441488,100.0,2021
Delicious,8371523,0,0.0,8371523,100.0,2021
I Don't Have Any Money Left in My Retirement Account,8204616,0,0.0,8204616,100.0,2021
Girls to Buy,8177284,0,0.0,8177284,100.0,2021
Green Snake,8170000,0,0.0,8170000,100.0,2021
New Happy Dad and Son 4,8070000,0,0.0,8070000,100.0,2021
Sunny Sisters,7880000,0,0.0,7880000,100.0,2021
Contra,7762797,0,0.0,7762797,100.0,2021
Hard Hit,7658021,0,0.0,7658021,100.0,2021
Little Canned Men,7600000,0,0.0,7600000,100.0,2021
Pushpa: The Rise 0 Part 1,7592374,1320000,17.4,6272374,82.6,2021
The Mauritanian,7527030,836536,11.1,6690494,88.9,2021
The Ice Road,7502846,0,0.0,7502846,100.0,2021
Judas and the Black Messiah,7478009,5478009,73.3,2000000,26.7,2021
Love Letter 2021 Re0release,7400000,0,0.0,7400000,100.0,2021
Signal: The Movie,7388603,0,0.0,7388603,100.0,2021
Avatar: The Way of Water,2320250281,684075767,29.5,1636174514,70.5,2022
Top Gun: Maverick,1495696292,718732821,48.1,776963471,51.9,2022
Jurassic World Dominion,1001978080,376851080,37.6,625127000,62.4,2022
Doctor Strange in the Multiverse of Madness,955775804,411331607,43.0,544444197,57.0,2022
Minions: The Rise of Gru,940203765,370270765,39.4,569933000,60.6,2022
Black Panther: Wakanda Forever,859208836,453829060,52.8,405379776,47.2,2022
The Batman,772245583,369345583,47.8,402900000,52.2,2022
Thor: Love and Thunder,760928081,343256830,45.1,417671251,54.9,2022
Water Gate Bridge,626571697,117294,0.0,626454403,100.0,2022
Puss in Boots: The Last Wish,481726788,186090535,38.6,295636253,61.4,2022
Moon Man,460237662,0,0.0,460237662,100.0,2022
Fantastic Beasts: The Secrets of Dumbledore,407150844,95850844,23.5,311300000,76.5,2022
Uncharted,407141258,148648820,36.5,258492438,63.5,2022
Sonic the Hedgehog 2,405421518,190872904,47.1,214548614,52.9,2022
Black Adam,393452111,168152111,42.7,225300000,57.3,2022
Elvis,287740048,151040048,52.5,136700000,47.5,2022
The Bad Guys,250387888,97459240,38.9,152928648,61.1,2022
Bullet Train,239268602,103368602,43.2,135900000,56.8,2022
Lightyear,226425420,118307188,52.2,108118232,47.8,2022
Smile,217408513,105935048,48.7,111473465,51.3,2022
Too Cool to Kill,217254604,185882,0.0,217068722,99.9,2022
Nice View,211019042,0,0.0,211019042,100.0,2022
DC League of Super0Pets,207557117,93657117,45.1,113900000,54.9,2022
The Lost City,192907684,105344029,54.6,87563655,45.4,2022
M3GAN,180089109,95159005,52.8,84930104,47.2,2022
One Piece Film: Red,171319579,12775324,7.5,158544255,92.5,2022
Nope,171235592,123277080,72.0,47958512,28.0,2022
Ticket to Paradise,168770985,68275985,40.5,100495000,59.5,2022
Morbius,167460961,73865530,44.1,93595431,55.9,2022
RRR,165955146,14500000,8.7,151455146,91.3,2022
The Black Phone,161440742,90123230,55.8,71317512,44.2,2022
The First Slam Dunk,151712242,1291869,0.9,150420373,99.1,2022
Where the Crawdads Sing,144353965,90230760,62.5,54123205,37.5,2022
Everything Everywhere All at Once,139402341,77191785,55.4,62210556,44.6,2022
Scream,137743924,81641405,59.3,56102519,40.7,2022
Death on the Nile,137307235,45630104,33.2,91677131,66.8,2022
Suzume,133473196,10932037,8.2,122541159,91.8,2022
A Man Called Otto,113359847,64267657,56.7,49092190,43.3,2022
Lyle Lyle Crocodile,111080122,46888441,42.2,64191681,57.8,2022
Halloween Ends,104374176,64079860,61.4,40294316,38.6,2022
The Roundup,101166707,812859,0.8,100353848,99.2,2022
The Woman King,97562514,67328130,69.0,30234384,31.0,2022
Downton Abbey: A New Era,92651384,44141550,47.6,48509834,52.4,2022
K.G.F: Chapter 2,89123940,2874000,3.2,86249940,96.8,2022
Don't Worry Darling,87609403,45309403,51.7,42300000,48.3,2022
Dragon Ball Super: Super Hero,86562140,38112140,44.0,48450000,56.0,2022
Dog,84550282,61778069,73.1,22772213,26.9,2022
Jackass Forever,80563999,57743451,71.7,22820548,28.3,2022
The Menu,79628200,38501125,48.4,41127075,51.6,2022
Chebi: My Fluffy Friend,77609926,0,0.0,77609926,100.0,2022
Avatar 2022 Re0release,76012917,24714024,32.5,51298893,67.5,2022
Violent Night,76004405,50057405,65.9,25947000,34.1,2022
Strange World,73621640,37968963,51.6,35652677,48.4,2022
Detective Conan: The Bride of Halloween,72699093,0,0.0,72699093,100.0,2022
The Northman,69633110,34233110,49.2,35400000,50.8,2022
Moonfall,67319703,19060660,28.3,48234703,71.7,2022
Babylon,63562440,15351455,24.2,48210985,75.8,2022
Whitney Houston: I Wanna Dance with Somebody,59806881,23708080,39.6,36098801,60.4,2022
Beast,59095809,31846530,53.9,27249279,46.1,2022
The Whale,57615635,17463630,30.3,39563064,68.7,2022
Hansan: Rising Dragon,57490985,865888,1.5,56625097,98.5,2022
Confidential Assignment 2: International,54486330,0,0.0,54486330,100.0,2022
Ambulance,52303589,22781115,43.6,29522474,56.4,2022
Marry Me,50541093,22438180,44.4,28102913,55.6,2022
Brahmastra Part One: Shiva,50164785,7839108,15.6,42325677,84.4,2022
The Banshees of Inisherin,49262687,10582266,21.5,38680421,78.5,2022
The Fabelmans,45647323,17348945,38.0,28298378,62.0,2022
Barbarian,45352337,40842944,90.1,4509393,9.9,2022
Prey for the Devil,44658929,19802293,44.3,24856636,55.7,2022
Paws of Fury: The Legend of Hank,42439184,17811382,42.0,24627802,58.0,2022
The Invitation,38036130,25100080,66.0,12936050,34.0,2022
Orphan: First Kill,37083743,5413227,14.6,31670516,85.4,2022
Matilda: The Musical,35617120,0,0.0,35617120,100.0,2022
Kingdom 2: Far and Away,34963395,0,0.0,34963395,100.0,2022
The Bob's Burgers Movie,34148750,31933830,93.5,2214920,6.5,2022
Hunt,33821338,25994,0.0,33795344,99.9,2022
Tad the Lost Explorer and the Emerald Tablet,32849430,67599,0.2,32781831,99.8,2022
BTS Permission to Dance on Stage 0 Seoul: Live Viewing,32600000,6840000,21.0,25760000,79.0,2022
Shin Ultraman,32137136,601490,1.9,31535646,98.1,2022
Amsterdam,31245810,14947969,47.8,16297841,52.2,2022
Mrs. Harris Goes to Paris,31042050,10433915,33.6,20608135,66.4,2022
Vikram,29837637,1770000,5.9,28067637,94.1,2022
The Unbearable Weight of Massive Talent,29116320,20300157,69.7,8816163,30.3,2022
Tár,29048571,6773650,23.3,22274921,76.7,2022
Serial (Bad) Weddings 3,27832384,0,0.0,27832384,100.0,2022
The 355,27827745,14570455,52.4,13257290,47.6,2022
The Last 10 Years,26729106,0,0.0,26729106,100.0,2022
The Night Owl,26719364,0,0.0,26719364,100.0,2022
Triangle of Sadness,26214659,4608096,17.6,21606563,82.4,2022
The Kashmir Files,24821898,1485000,6.0,23336898,94.0,2022
The Confidence Man JP: Episode of the Hero,23214581,0,0.0,23214581,100.0,2022
The Witch: Part 2 0 The Other One,23068596,143723,0.6,22924873,99.4,2022
Doraemon the Movie: Nobita's Little Star Wars 2021,22044058,0,0.0,22044058,100.0,2022
Decision to Leave,22026067,2179864,9.9,19846203,90.1,2022
See How They Run,21966634,9586237,43.6,12380397,56.4,2022
Ponniyin Selvan: Part I,21888295,4282000,19.6,17606295,80.4,2022
Devotion,21768133,20511938,94.2,1256195,5.8,2022
Silent Parade,21723595,0,0.0,21723595,100.0,2022
Father Stu,21592379,20884796,96.7,707583,3.3,2022
Turning Red,21521622,1399001,6.5,20122621,93.5,2022
Emergency Declaration,21400327,412196,1.9,20988131,98.1,2022
The Amazing Maurice,21134768,4303645,20.4,16831123,79.6,2022
Crayon Shin0chan: Mononoke Ninja Chinpuden,20617005,0,0.0,20617005,100.0,2022
Three Thousand Years of Longing,20282422,8286741,40.9,11995681,59.1,2022
School of Magical Animals 2,19724705,45860,0.2,19678845,99.8,2022
After Ever Happy,19238073,1072750,5.6,18165323,94.4,2022
Simone: Woman of the Century,19167164,0,0.0,19167164,100.0,2022
Broker,18851416,1046899,5.6,17804517,94.4,2022
Godfather,18737287,0,0.0,18737287,100.0,2022
November,18554715,0,0.0,18554715,100.0,2022
Bhool Bhulaiyaa 2,18307258,0,0.0,18307258,100.0,2022
Fragments of the Last Will,17954691,0,0.0,17954691,100.0,2022
The Quintessential Quintuplets Movie,17506171,502000,2.9,17004171,97.1,2022
Fall,17363261,7240521,41.7,10122740,58.3,2022
Even If This Love Disappears from the World Tonight,16848229,0,0.0,16848229,100.0,2022
Wunderschön,16719291,0,0.0,16719291,100.0,2022
Father There Is Only One 3,16401315,0,0.0,16401315,100.0,2022
Dr. Coto's Clinic,16062841,0,0.0,16062841,100.0,2022
Radhe Shyam,15954804,1860000,11.7,14094804,88.3,2022
Blacklight,15902207,9591094,60.3,6311113,39.7,2022
Operation Mincemeat,15710164,0,0.0,15710164,100.0,2022
Maison de retraite,15570823,0,0.0,15570823,100.0,2022
Utapri Movie 2 Uta No Prince0Sama Maji Love Starish Tours Movie,15569229,0,0.0,15569229,100.0,2022
Bheemla Nayak,15243922,0,0.0,15243922,100.0,2022
Bones and All,15234907,7834907,51.4,7400000,48.6,2022
Terrifier 2,15065239,10640105,70.6,4425134,29.4,2022
Firestarter,15039250,9739250,64.8,5300000,35.2,2022
The Wolf of Wall Street 2022 Re0release,15038738,0,0.0,14877539,98.9,2022
Bros,14781867,11628165,78.7,3153702,21.3,2022
Superwho?,14770359,0,0.0,14770359,100.0,2022
X,14740889,11765309,79.8,2975580,20.2,2022
The Chosen Season 3: Episode 1 & 2,14679613,14612089,99.5,67524,0.5,2022
The Duke,14233027,1526970,10.7,12700247,89.2,2022
Sarkaru Vaari Paata,14199018,0,0.0,14199018,100.0,2022
She Said,13944212,5825995,41.8,8118217,58.2,2022
The Legend of Maula Jatt,13941539,5016493,36.0,8925046,64.0,2022
Bodies Bodies Bodies,13929670,11446602,82.2,2483068,17.8,2022
Glass Onion,13280000,13280000,100.0,0,0.0,2022
Valimai,13276393,0,0.0,13276393,100.0,2022
Memory,13240559,7329043,55.4,5911516,44.6,2022
Moonage Daydream,13095781,4218925,32.2,8876856,67.8,2022
Easter Sunday,13074255,13013690,99.5,60565,0.5,2022
Living,12377310,3038113,24.5,9339197,75.5,2022
Guglhupfgeschwader,12307072,0,0.0,12307072,100.0,2022
Alienoid,12109608,168309,1.4,11941299,98.6,2022
Laal Singh Chaddha,12093536,3401324,28.1,8692212,71.9,2022
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,11628645,1588491,13.7,10040154,86.3,2022
Till,11498884,9000202,78.3,2498682,21.7,2022
Jug Jugg Jeeyo,11467726,1033000,9.0,10434726,91.0,2022
Empire of Light,11395604,1177577,10.3,10218027,89.7,2022
The Eight Mountains,11374298,302456,2.7,11071842,97.3,2022
Bergen,11325405,0,0.0,11325405,100.0,2022
Rise,11252331,0,0.0,11252331,100.0,2022
Men,11152071,7587853,68.0,3564218,32.0,2022
Chickenhare and the Hamster of Darkness,10885116,0,0.0,10885116,100.0,2022
Warriors of Future,10490328,0,0.0,10490328,100.0,2022
Land of Legends,10357479,0,0.0,10357479,100.0,2022
The Pirates: The Last Royal Treasure,10258331,0,0.0,10258331,100.0,2022
Vaillante,10143170,0,0.0,10143170,100.0,2022
Table for Six,10138355,0,0.0,10138355,100.0,2022
The Beasts,10067896,46105,0.5,10021791,99.5,2022
Smack Dab Kakha,9995945,0,0.0,9995945,100.0,2022
F3: Fun and Frustration,9849193,1195000,12.1,8654193,87.9,2022
Pearl,9847490,9423445,95.7,424045,4.3,2022
Good Luck to You Leo Grande,9795364,0,0.0,9795364,100.0,2022
Rheingold,9701747,0,0.0,9701747,100.0,2022
Spider0Man: No Way Home 2022 Re0release,9613518,9321593,97.0,291925,3.0,2022
Redeeming Love,9464198,9214020,97.4,250178,2.6,2022
Women Talking,9276103,5456531,58.8,3819572,41.2,2022
Sword Art Online the Movie: Progressive 0 Scherzo of Deep Night,9071701,0,0.0,9071701,100.0,2022
Samrat Prithviraj,8568339,0,0.0,8568339,100.0,2022
Aftersun,8477235,1658790,19.6,6818445,80.4,2022
Life Is Beautiful,8458639,0,0.0,8458639,100.0,2022
Yolki 9,8385030,0,0.0,8385030,100.0,2022
Shotgun Wedding,8277788,0,0.0,8277788,100.0,2022
Vikram Vedha,8234166,1589362,19.3,6644804,80.7,2022
Re/Member,8166175,0,0.0,8166175,100.0,2022
Rabbit Academy: Mission Eggpossible,8119534,0,0.0,8119534,100.0,2022
Acharya,8048175,832000,10.3,7216175,89.7,2022
Il grande giorno,8021940,0,0.0,8021940,100.0,2022
The Tatta's,8000956,0,0.0,8000956,100.0,2022
Ducobu 4 President,7858171,0,0.0,7858171,100.0,2022
Finnick,7591889,0,0.0,7591889,100.0,2022
Phases of the Moon,7564756,0,0.0,7564756,100.0,2022
777 Charlie,7523995,0,0.0,7523995,100.0,2022
Bachchhan Paandey,7387882,0,0.0,7387882,100.0,2022
Lesson in Murder,7348964,0,0.0,7348964,100.0,2022
Family Affairs,7330755,0,0.0,7330755,100.0,2022
Listy do M. 5,7328061,0,0.0,7328061,100.0,2022
Laid0Back Camp Movie,7317913,0,0.0,7317913,100.0,2022
Osomatsusan the Movie 2022 Re0release,7297522,0,0.0,7297522,100.0,2022
The New Toy,7295051,0,0.0,7295051,100.0,2022
Decibel,7212471,60579,0.8,7151892,99.2,2022
The Kids Are Alright 2,7187470,0,0.0,7187470,100.0,2022
Barbie,1445638421,636238421,44.0,809400000,56.0,2023
The Super Mario Bros. Movie,1361992475,574934330,42.2,787058145,57.8,2023
Oppenheimer,975440031,329862540,33.8,645577491,66.2,2023
Guardians of the Galaxy Vol. 3,845555777,358995815,42.5,486559962,57.5,2023
Fast X,704875015,146126015,20.7,558749000,79.3,2023
Spider0Man: Across the Spider0Verse,690615475,381311319,55.2,309304156,44.8,2023
Wonka,632302312,218402312,34.5,413900000,65.5,2023
The Little Mermaid,569626289,298172056,52.3,271454233,47.7,2023
Mission: Impossible 0 Dead Reckoning Part One,567535383,172135383,30.3,395400000,69.7,2023
Elemental,496444308,154426697,31.1,342017611,68.9,2023
Ant0Man and the Wasp: Quantumania,476071180,214504909,45.1,261566271,54.9,2023
John Wick: Chapter 4,440157245,187131806,42.5,253025439,57.5,2023
Transformers: Rise of the Beasts,438966392,157066392,35.8,281900000,64.2,2023
Aquaman and the Lost Kingdom,434381226,124481226,28.7,309900000,71.3,2023
Meg 2: The Trench,397700317,82600317,20.8,315100000,79.2,2023
Indiana Jones and the Dial of Destiny,383963057,174480468,45.4,209482589,54.6,2023
The Hunger Games: The Ballad of Songbirds & Snakes,344357763,166350594,48.3,178007169,51.7,2023
Migration,299161774,127306285,42.6,171855489,57.4,2023
Five Nights at Freddy's,291493620,137275620,47.1,154218000,52.9,2023
Creed III,276148615,156248615,56.6,119900000,43.4,2023
The Flash,271333313,108133313,39.9,163200000,60.1,2023
The Nun II,269467073,86267073,32.0,183200000,68.0,2023
Taylor Swift: The Eras Tour,261656269,180756269,69.1,80900000,30.9,2023
Wish,254997360,63973821,25.1,191023539,74.9,2023
Sound of Freedom,250570396,184178046,73.5,66392350,26.5,2023
Napoleon,221394838,61524375,27.8,159870463,72.2,2023
Anyone But You,220213795,88319668,40.1,131894127,59.9,2023
Trolls Band Together,209367510,102996915,49.2,106370595,50.8,2023
Dungeons & Dragons: Honor Among Thieves,208177026,93277026,44.8,114900000,55.2,2023
The Marvels,206136825,84500223,41.0,121636602,59.0,2023
PAW Patrol: The Mighty Movie,202231360,65231360,32.3,137000000,67.7,2023
The Equalizer 3,191067560,92373751,48.3,98693809,51.7,2023
Insidious: The Red Door,189086877,82156962,43.4,106929915,56.6,2023
Teenage Mutant Ninja Turtles: Mutant Mayhem,180513586,118613586,65.7,61900000,34.3,2023
The Boy and the Heron,173635417,46832867,27.0,126802550,73.0,2023
Scream VI,168961389,108161389,64.0,60800000,36.0,2023
Killers of the Flower Moon,157026901,68026901,43.3,89000000,56.7,2023
Evil Dead Rise,147033054,67233054,45.7,79800000,54.3,2023
The Exorcist: Believer,136284218,65537395,48.1,70746823,51.9,2023
Shazam! Fury of the Gods,134038006,57638006,43.0,76400000,57.0,2023
Blue Beetle,130788072,72488072,55.4,58300000,44.6,2023
A Haunting in Venice,122290456,42471412,34.7,79819044,65.3,2023
